title,price,address,link
Без названия,3200000,Адрес не указан,https://www.avito.ru/novosibirsk/kvartiry/kvartira-studiya_59_m_710_et._4140102683?context=H4sIAAAAAAAA_wGIAHf_YTo0OntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MTE6IndpZGdldFRpdGxlIjtOO3M6MToieCI7czozMToiOGpqYmlxa3oxd2puaWRqdzFqMTczbTdhbDZkcnV6eCI7fQPgcEqIAAAA
Без названия,3400000,Адрес не указан,https://www.avito.ru/novosibirsk/kvartiry/kvartira-studiya_324_m_616_et._8089038044?context=H4sIAAAAAAAA_wGIAHf_YTo0OntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MTE6IndpZGdldFRpdGxlIjtOO3M6MToieCI7czozMToiOGpqYmlxa3oxd2puaWRqdzFqMTczbTdhbDZkcnV6eCI7fQPgcEqIAAAA
Без названия,3600000,Адрес не указан,https://www.avito.ru/novosibirsk/kvartiry/kvartira-studiya_267_m_917_et._8321009924?context=H4sIAAAAAAAA_wGIAHf_YTo0OntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MTE6IndpZGdldFRpdGxlIjtOO3M6MToieCI7czozMToiOGpqYmlxa3oxd2puaWRqdzFqMTczbTdhbDZkcnV6eCI7fQPgcEqIAAAA
Без названия,3700000,Адрес не указан,https://www.avito.ru/novosibirsk/kvartiry/3-k._kvartira_653_m_818_et._8311515722?context=H4sIAAAAAAAA_wGIAHf_YTo0OntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MTE6IndpZGdldFRpdGxlIjtOO3M6MToieCI7czozMToiOGpqYmlxa3oxd2puaWRqdzFqMTczbTdhbDZkcnV6eCI7fQPgcEqIAAAA
Без названия,4200000,Адрес не указан,https://www.avito.ru/novosibirsk/kvartiry/1-k._kvartira_38_m_1318_et._3653376248?context=H4sIAAAAAAAA_wGIAHf_YTo0OntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MTE6IndpZGdldFRpdGxlIjtOO3M6MToieCI7czozMToiOGpqYmlxa3oxd2puaWRqdzFqMTczbTdhbDZkcnV6eCI7fQPgcEqIAAAA
Без названия,4548000,Адрес не указан,https://www.avito.ru/novosibirsk/kvartiry/3-k._kvartira_59_m_910_et._7539843616?context=H4sIAAAAAAAA_wGIAHf_YTo0OntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MTE6IndpZGdldFRpdGxlIjtOO3M6MToieCI7czozMToiOGpqYmlxa3oxd2puaWRqdzFqMTczbTdhbDZkcnV6eCI7fQPgcEqIAAAA
Без названия,4900000,Адрес не указан,https://www.avito.ru/novosibirsk/kvartiry/2-k._kvartira_398_m_38_et._8189919488?context=H4sIAAAAAAAA_wGIAHf_YTo0OntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MTE6IndpZGdldFRpdGxlIjtOO3M6MToieCI7czozMToiOGpqYmlxa3oxd2puaWRqdzFqMTczbTdhbDZkcnV6eCI7fQPgcEqIAAAA
Без названия,5300000,Адрес не указан,https://www.avito.ru/novosibirsk/kvartiry/kvartira-studiya_28_m_49_et._7928951241?context=H4sIAAAAAAAA_wGIAHf_YTo0OntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MTE6IndpZGdldFRpdGxlIjtOO3M6MToieCI7czozMToiOGpqYmlxa3oxd2puaWRqdzFqMTczbTdhbDZkcnV6eCI7fQPgcEqIAAAA
Без названия,5600000,Адрес не указан,https://www.avito.ru/novosibirsk/kvartiry/kvartira-studiya_252_m_225_et._8142854403?context=H4sIAAAAAAAA_wGIAHf_YTo0OntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MTE6IndpZGdldFRpdGxlIjtOO3M6MToieCI7czozMToiOGpqYmlxa3oxd2puaWRqdzFqMTczbTdhbDZkcnV6eCI7fQPgcEqIAAAA
Без названия,6200000,Адрес не указан,https://www.avito.ru/novosibirsk/kvartiry/2-k._kvartira_493_m_722_et._7424623783?context=H4sIAAAAAAAA_wGIAHf_YTo0OntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MTE6IndpZGdldFRpdGxlIjtOO3M6MToieCI7czozMToiOGpqYmlxa3oxd2puaWRqdzFqMTczbTdhbDZkcnV6eCI7fQPgcEqIAAAA
Без названия,180000032143,"ул. Титова,  255/1 ·  5,0 · 6 отзывовр-н Ленинский",https://www.avito.ru/novosibirsk/kvartiry/2-k._kvartira_56_m_1018_et._8141027444?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJCd2FaNlNxRDBaa0pJZzhCIjt9TgCV6T8AAAA
Без названия,240000091255,"Рубежная ул.,  3 ·  5,0 · 3 отзывар-н Кировский",https://www.avito.ru/novosibirsk/kvartiry/kvartira-studiya_263_m_23_et._8243795631?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJCd2FaNlNxRDBaa0pJZzhCIjt9TgCV6T8AAAA
Без названия,250000051020,"Воинская ул.,  69 ·  4,6 · 5 отзывовЗолотая Нива, 21–30 мин.",https://www.avito.ru/novosibirsk/kvartiry/2-k._kvartira_49_m_814_et._8140903573?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJCd2FaNlNxRDBaa0pJZzhCIjt9TgCV6T8AAAA
Без названия,295000071951,"Плющихинская ул.,  3 ·  3,6 · 8 отзывовЗолотая Нива, от 31 мин.",https://www.avito.ru/novosibirsk/kvartiry/1-k._kvartira_41_m_310_et._8012010952?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJCd2FaNlNxRDBaa0pJZzhCIjt9TgCV6T8AAAA
Без названия,320000073903,"Барьерная ул.,  5 · 1 отзывр-н Советский",https://www.avito.ru/novosibirsk/kvartiry/2-k._kvartira_433_m_25_et._8188570843?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJCd2FaNlNxRDBaa0pJZzhCIjt9TgCV6T8AAAA
